Query template,Time type, Stat type, Difference (abs.), Difference (%)
S4,ttfb,min,-0.4823,-3.5848
S4,ttfb,mean,-0.1146,-0.8349
S4,ttfb,std,0.1003,30.7103
S4,ttfb,max,-0.2785,-1.9723
S4,ttlb,min,-0.4826,-3.5868
S4,ttlb,mean,-0.1146,-0.8348
S4,ttlb,std,0.1004,30.7316
S4,ttlb,max,-0.2779,-1.9680
F3,ttfb,min,-0.0164,-10.4725
F3,ttfb,mean,0.5028,7.2927
F3,ttfb,std,0.1940,3.8981
F3,ttfb,max,0.2561,2.1956
F3,ttlb,min,-0.0164,-10.4459
F3,ttlb,mean,0.5047,7.3187
F3,ttlb,std,0.1960,3.9378
F3,ttlb,max,0.2632,2.2561
L3,ttfb,min,0.0082,25.6250
L3,ttfb,mean,0.0093,24.0933
L3,ttfb,std,0.0015,15.9574
L3,ttfb,max,0.0116,22.1797
L3,ttlb,min,0.0075,22.7273
L3,ttlb,mean,0.0088,22.2785
L3,ttlb,std,0.0018,19.7802
L3,ttlb,max,0.0117,22.1591
C3,ttfb,min,5.3391,36.1397
C3,ttfb,mean,4.9287,31.9730
C3,ttfb,std,-0.2234,-39.6380
C3,ttfb,max,4.7453,29.4765
C3,ttlb,min,35.2950,4.0722
C3,ttlb,mean,35.6994,4.0818
C3,ttlb,std,-2.4005,-27.6269
C3,ttlb,max,33.9390,3.8420
F5,ttfb,min,-0.0051,-2.2213
F5,ttfb,mean,-0.0298,-8.7957
F5,ttfb,std,-0.0439,-31.5600
F5,ttfb,max,-0.0998,-19.1812
F5,ttlb,min,-0.0036,-1.5625
F5,ttlb,mean,-0.0293,-8.6329
F5,ttlb,std,-0.0442,-31.7986
F5,ttlb,max,-0.0995,-19.1016
S2,ttfb,min,-0.0936,-3.0606
S2,ttfb,mean,-0.0537,-1.3391
S2,ttfb,std,-0.0904,-11.8620
S2,ttfb,max,-0.5165,-10.5057
S2,ttlb,min,-0.0932,-3.0469
S2,ttlb,mean,-0.0538,-1.3413
S2,ttlb,std,-0.0907,-11.8982
S2,ttlb,max,-0.5167,-10.5072
F4,ttfb,min,0.4222,5.7842
F4,ttfb,mean,-0.0049,-0.0621
F4,ttfb,std,-0.5887,-80.3138
F4,ttfb,max,-0.8199,-9.2712
F4,ttlb,min,0.4218,5.7776
F4,ttlb,mean,-0.0053,-0.0672
F4,ttlb,std,-0.5868,-80.1639
F4,ttlb,max,-0.8172,-9.2397
S1,ttfb,min,0.0052,4.6099
S1,ttfb,mean,-0.0002,-0.1541
S1,ttfb,std,-0.0045,-23.1959
S1,ttfb,max,-0.0021,-1.3871
S1,ttlb,min,0.0053,4.6861
S1,ttlb,mean,-0.0006,-0.4594
S1,ttlb,std,-0.0050,-25.1256
S1,ttlb,max,-0.0033,-2.1555
L1,ttfb,min,-0.0020,-5.4054
L1,ttfb,mean,0.0085,12.1602
L1,ttfb,std,0.0074,29.0196
L1,ttfb,max,0.0158,16.3223
L1,ttlb,min,-0.0020,-5.3763
L1,ttlb,mean,0.0092,13.1054
L1,ttlb,std,0.0073,28.5156
L1,ttlb,max,0.0159,16.3749
S7,ttfb,min,-0.0002,-2.2222
S7,ttfb,mean,-0.0003,-2.9412
S7,ttfb,std,-0.0001,-11.1111
S7,ttfb,max,-0.0002,-1.8349
S7,ttlb,min,-0.0002,-2.1739
S7,ttlb,mean,-0.0002,-1.9417
S7,ttlb,std,0.0000,0.0000
S7,ttlb,max,-0.0002,-1.8182
C2,ttfb,min,10.2980,4.1959
C2,ttfb,mean,11.5979,4.7053
C2,ttfb,std,1.8129,121.9002
C2,ttfb,max,14.2945,5.7484
C2,ttlb,min,10.2979,4.1958
C2,ttlb,mean,11.5975,4.7051
C2,ttlb,std,1.8128,121.9017
C2,ttlb,max,14.2943,5.7483
S3,ttfb,min,0.8817,7.4811
S3,ttfb,mean,0.8304,6.7883
S3,ttfb,std,0.0438,7.3675
S3,ttfb,max,0.9276,7.0880
S3,ttlb,min,0.8817,7.4809
S3,ttlb,mean,0.8306,6.7897
S3,ttlb,std,0.0440,7.4012
S3,ttlb,max,0.9281,7.0917
L4,ttfb,min,0.3586,9.8763
L4,ttfb,mean,0.3938,10.6435
L4,ttfb,std,0.0480,66.9456
L4,ttfb,max,0.4008,10.5463
L4,ttlb,min,0.2941,5.6250
L4,ttlb,mean,0.3557,6.7311
L4,ttlb,std,0.0163,23.3859
L4,ttlb,max,0.3316,6.1565
F2,ttfb,min,0.0105,1.9060
F2,ttfb,mean,0.1970,7.1974
F2,ttfb,std,0.3570,8.4439
F2,ttfb,max,0.7328,8.0730
F2,ttlb,min,0.0106,1.9231
F2,ttlb,mean,0.1937,6.0679
F2,ttlb,std,0.3506,6.8250
F2,ttlb,max,0.7199,6.6069
L2,ttfb,min,0.5746,27.2039
L2,ttfb,mean,1.6839,4.4279
L2,ttfb,std,0.7051,2.9354
L2,ttfb,max,0.5252,0.9969
L2,ttlb,min,0.5751,27.2198
L2,ttlb,mean,1.6519,4.3398
L2,ttlb,std,0.6851,2.8496
L2,ttlb,max,0.5207,0.9882
C1,ttfb,min,1.8208,3.3837
C1,ttfb,mean,1.4635,2.6251
C1,ttfb,std,-0.1380,-7.8103
C1,ttfb,max,1.1018,1.8972
C1,ttlb,min,1.8213,3.3846
C1,ttlb,mean,1.4639,2.6257
C1,ttlb,std,-0.1380,-7.8103
C1,ttlb,max,1.1022,1.8978
L5,ttfb,min,0.6620,15.1922
L5,ttfb,mean,1.2110,18.2721
L5,ttfb,std,1.0319,62.9169
L5,ttfb,max,3.1461,38.0051
L5,ttlb,min,0.6611,15.1639
L5,ttlb,mean,0.8337,7.4603
L5,ttlb,std,0.5781,8.8468
L5,ttlb,max,2.0456,11.4785
S5,ttfb,min,0.7506,5.7977
S5,ttfb,mean,0.3737,2.6586
S5,ttfb,std,0.0346,3.0956
S5,ttfb,max,0.5369,3.4395
S5,ttlb,min,0.7509,5.7998
S5,ttlb,mean,0.3739,2.6600
S5,ttlb,std,0.0346,3.0956
S5,ttlb,max,0.5370,3.4401
S6,ttfb,min,0.0834,2.0958
S6,ttfb,mean,0.1029,2.5315
S6,ttfb,std,0.0804,81.7073
S6,ttfb,max,0.2290,5.4445
S6,ttlb,min,0.0836,2.1006
S6,ttlb,mean,0.1032,2.5386
S6,ttlb,std,0.0805,81.8089
S6,ttlb,max,0.2294,5.4533
