Query template, Time type, Stat type, Time (sec)
S4,ttfb,min,13.4542
S4,ttfb,mean,13.7265
S4,ttfb,std,0.3266
S4,ttfb,max,14.1206
S4,ttlb,min,13.4549
S4,ttlb,mean,13.7273
S4,ttlb,std,0.3267
S4,ttlb,max,14.1211
F3,ttfb,min,0.1566
F3,ttfb,mean,6.8946
F3,ttfb,std,4.9768
F3,ttfb,max,11.6643
F3,ttlb,min,0.1570
F3,ttlb,mean,6.8960
F3,ttlb,std,4.9774
F3,ttlb,max,11.6659
L3,ttfb,min,0.0320
L3,ttfb,mean,0.0386
L3,ttfb,std,0.0094
L3,ttfb,max,0.0523
L3,ttlb,min,0.0330
L3,ttlb,mean,0.0395
L3,ttlb,std,0.0091
L3,ttlb,max,0.0528
C3,ttfb,min,14.7735
C3,ttfb,mean,15.4152
C3,ttfb,std,0.5636
C3,ttfb,max,16.0986
C3,ttlb,min,866.7261
C3,ttlb,mean,874.5948
C3,ttlb,std,8.6890
C3,ttlb,max,883.3684
F5,ttfb,min,0.2296
F5,ttfb,mean,0.3388
F5,ttfb,std,0.1391
F5,ttfb,max,0.5203
F5,ttlb,min,0.2304
F5,ttlb,mean,0.3394
F5,ttlb,std,0.1390
F5,ttlb,max,0.5209
S2,ttfb,min,3.0582
S2,ttfb,mean,4.0102
S2,ttfb,std,0.7621
S2,ttfb,max,4.9164
S2,ttlb,min,3.0588
S2,ttlb,mean,4.0110
S2,ttlb,std,0.7623
S2,ttlb,max,4.9176
F4,ttfb,min,7.2992
F4,ttfb,mean,7.8848
F4,ttfb,std,0.7330
F4,ttfb,max,8.8435
F4,ttlb,min,7.3006
F4,ttlb,mean,7.8868
F4,ttlb,std,0.7320
F4,ttlb,max,8.8444
S1,ttfb,min,0.1128
S1,ttfb,mean,0.1298
S1,ttfb,std,0.0194
S1,ttfb,max,0.1514
S1,ttlb,min,0.1131
S1,ttlb,mean,0.1306
S1,ttlb,std,0.0199
S1,ttlb,max,0.1531
L1,ttfb,min,0.0370
L1,ttfb,mean,0.0699
L1,ttfb,std,0.0255
L1,ttfb,max,0.0968
L1,ttlb,min,0.0372
L1,ttlb,mean,0.0702
L1,ttlb,std,0.0256
L1,ttlb,max,0.0971
S7,ttfb,min,0.0090
S7,ttfb,mean,0.0102
S7,ttfb,std,0.0009
S7,ttfb,max,0.0109
S7,ttlb,min,0.0092
S7,ttlb,mean,0.0103
S7,ttlb,std,0.0008
S7,ttlb,max,0.0110
C2,ttfb,min,245.4328
C2,ttfb,mean,246.4859
C2,ttfb,std,1.4872
C2,ttfb,max,248.6703
C2,ttlb,min,245.4337
C2,ttlb,mean,246.4872
C2,ttlb,std,1.4871
C2,ttlb,max,248.6711
S3,ttfb,min,11.7857
S3,ttfb,mean,12.2329
S3,ttfb,std,0.5945
S3,ttfb,max,13.0869
S3,ttlb,min,11.7860
S3,ttlb,mean,12.2332
S3,ttlb,std,0.5945
S3,ttlb,max,13.0871
L4,ttfb,min,3.6309
L4,ttfb,mean,3.6999
L4,ttfb,std,0.0717
L4,ttfb,max,3.8004
L4,ttlb,min,5.2284
L4,ttlb,mean,5.2844
L4,ttlb,std,0.0697
L4,ttlb,max,5.3862
F2,ttfb,min,0.5509
F2,ttfb,mean,2.7371
F2,ttfb,std,4.2279
F2,ttfb,max,9.0772
F2,ttlb,min,0.5512
F2,ttlb,mean,3.1922
F2,ttlb,std,5.1370
F2,ttlb,max,10.8962
L2,ttfb,min,2.1122
L2,ttfb,mean,38.0297
L2,ttfb,std,24.0208
L2,ttfb,max,52.6841
L2,ttlb,min,2.1128
L2,ttlb,mean,38.0641
L2,ttlb,std,24.0416
L2,ttlb,max,52.6912
C1,ttfb,min,53.8116
C1,ttfb,mean,55.7512
C1,ttfb,std,1.7669
C1,ttfb,max,58.0759
C1,ttlb,min,53.8121
C1,ttlb,mean,55.7517
C1,ttlb,std,1.7669
C1,ttlb,max,58.0763
L5,ttfb,min,4.3575
L5,ttfb,mean,6.6276
L5,ttfb,std,1.6401
L5,ttfb,max,8.2781
L5,ttlb,min,4.3597
L5,ttlb,mean,11.1752
L5,ttlb,std,6.5346
L5,ttlb,max,17.8211
S5,ttfb,min,12.9466
S5,ttfb,mean,14.0561
S5,ttfb,std,1.1177
S5,ttfb,max,15.6097
S5,ttlb,min,12.9469
S5,ttlb,mean,14.0563
S5,ttlb,std,1.1177
S5,ttlb,max,15.6099
S6,ttfb,min,3.9793
S6,ttfb,mean,4.0648
S6,ttfb,std,0.0984
S6,ttfb,max,4.2061
S6,ttlb,min,3.9798
S6,ttlb,mean,4.0653
S6,ttlb,std,0.0984
S6,ttlb,max,4.2066
F1,ttfb,min,9.8926
F1,ttfb,mean,10.0535
F1,ttfb,std,0.2208
F1,ttfb,max,10.3713
F1,ttlb,min,9.8928
F1,ttlb,mean,10.0538
F1,ttlb,std,0.2208
F1,ttlb,max,10.3715
